SampleID,Label,Na+K,Ca,Mg,Cl,SO4,HCO3,CO3,TDS,TH,TA,PH,rNa/rCl,rSO4/rCl,rCa/rMg
S001,老空水,1831.1,319.32,242.6,321.51,4699.65,490.56,11.41,7920,1795.89,,6.6,,,
S002,老空水,608.4,313,1130,366,4820,4.5,1016,9980,5615,,7.3,,,
S003,老空水,3300.36,400.16,291.71,569.95,8149.27,75.96,8.56,12800,,,2.8,,,
S004,老空水,23796,447.2,195.4,1071.4,4206.6,,,53786,5632.7,20,2.7,,,
S005,老空水、含水层水混合,252.69,133.39,97.73,284.97,606.7,270.21,11.41,1661,,,7.9,,,
S006,老空水、含水层水混合,1228.43,465.33,262.25,277.67,3990.05,415.18,11.41,6656,,,7.05,,,
S007,裂隙水、含水层水混合,480.8,601,742,229,4560,266.54,0,,4556.04,,6.01,,,
S008,裂隙水、含水层水混合,522.6,681,973,250,5890,131.8,0,,5706.94,,5.36,,,
S009,裂隙水、含水层水混合,517.6,503,1290,228,6590,125.95,0,,6567.57,,5.83,,,
S010,第Ⅴ、VI含水层段,1116.67,20.21,21.61,599.17,787.39,1053.03,17.11,3620,139.41,,7.6,,,
S011,第Ⅴ、VI含水层段,1359.08,11.3,9.97,589,643,1613.86,31.69,,69.27,,8.64,,,
S012,第Ⅴ、VI含水层段,1466.33,4.78,6.41,700,650,120,1761,3900,39,,8.34,,,
S013,第四系含水层,968.12,139.33,159.1,755.15,1816.8,159.84,9.68,3908,1002.6,147.22,7.71,,,
S014,第四系含水层,676.04,100.48,59.5,67.24,1658.83,157.38,7.26,2519,495.75,141.16,7.38,,,
S015,第四系含水层,898.54,24.5,46.92,171.95,1606.89,240.99,55.63,2875,254.2,290.38,8.12,,,
S016,9煤顶板砂岩水,828.8,190.4,117,1353.8,599.9,250.2,0,,956.86,,7.61,,,
S017,9煤顶板砂岩水,829.14,190.4,121,1353.8,621,244.1,0,,973.38,,7.9,,,
S019,9煤顶板砂岩水,1153.01,202.2,140.36,1537.96,940.42,288.01,0,,1082.9,,7.8,,,
S020,9煤顶板砂岩水,974.55,165.72,114.92,1169.12,1137.25,180.34,8.56,,886.82,,7.12,,,
S021,9煤顶板砂岩水,991.69,149.55,110.01,1154.51,1143.42,168.74,8.56,,826.23,,7.67,,,
S022,9煤顶板砂岩水,906.64,165.72,114.92,1081.44,1116.67,160.04,17.11,,886.82,,7.78,,,
S023,9煤顶板砂岩水,795.44,181.89,134.56,1022.98,1114.61,133.95,8.56,,1008.03,,7.42,,,
S024,9煤顶板砂岩水,916.05,206.14,173.85,1205.66,1379.68,67.26,11.41,,1230.3,,7.33,,,
S025,9煤顶板砂岩水,707.28,230.39,173.85,1198.35,1022.41,58.57,8.56,,1290.85,,7.8,,,
S026,9煤顶板砂岩水,1018.19,181.89,119.83,1198.35,1259.91,162.94,8.56,,947.41,,7.21,,,
S027,9煤顶板砂岩水,1056.12,181.89,129.65,1753.68,366.32,467.07,17.11,,987.82,,7.24,,,
S028,16煤底板砂岩水,884.63,119.24,130.88,1110.66,883.29,318.05,5.7,,836.43,,7.48,,,
S029,16煤底板砂岩水,737.32,84.88,60.9,829.34,657.74,238.32,7.13,,462.61,,7.4,,,
S030,16煤底板砂岩水,734.32,105.09,74.4,840.31,743.35,226.73,9.98,,568.64,,7.14,,,
S031,16煤底板砂岩水,1205.64,153.6,95.27,1413.9,1127.78,260.07,7.13,,775.68,,7.47,,,
S032,16煤底板砂岩水,834.04,135.41,65.81,1044.9,688.61,267.32,5.7,,609.01,,7.41,,,
S033,16煤底板砂岩水,509.4,117.22,90.36,650.32,605.88,252.82,5.7,,664.62,,6.68,,,
S034,16煤底板砂岩水,796.99,124,71.3,1083,584,231.9,0,,603.04,,7.57,,,
S035,16煤奥灰水,1560.21,335.67,129.87,1515.51,2015.72,229.74,1.16,,1372.95,,7.72,,,
S036,16煤奥灰水,996.19,173.83,89.66,874.65,1292.69,201,1.51,,803.24,,7.46,,,
S037,16煤奥灰水,1690.29,217.37,98.38,1434.43,2037.63,110.08,2.05,,947.91,,7.61,,,
S038,16煤奥灰水,2045.94,331.66,148.78,1811.45,2519.64,236.94,1.32,,1440.8,,7.09,,,
S039,16煤奥灰水,1332.34,271.72,196.28,1546.38,1730.89,198.62,0.96,,1486.74,,7.54,,,
S040,16煤奥灰水,1293.61,247.75,157.5,1428.25,1555.61,222.54,1.09,,1267.21,,7.88,,,
S041,16煤奥灰水,1313.85,219.78,104.19,1289.54,1555.61,263.24,1.51,,977.83,,6.28,,,
